Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total Staff,Total staff in WA,Balance date,Total Revenue,Total Revenue (previous year),Operating Revenue,Operating Revenue (previous year),Profit or Loss,Profit or Loss (previous year),Total Assets,Total Assets (previous year),Total Liabilities,Total Liabilities (previous year),Trading status,Debt - Term Loans Due,Debt - Term Loans Expire,Debt - Interest Bearing Loan & Borrowing Date,Debt - Interest Bearing Loan & Borrowing Amount,Debt - Term Loans Amount,"Debt - Term Loans (e.g. Syndicated, bonds etc)",Short Term Debt,Short Term Debt (previous year),Long Term Debt,Long Term Debt (previous year),Joint Ventures - Partner Name,Joint Ventures - Beneficial Interest,Joint Ventures - Share of Revenue,Joint Ventures - Carrying Amount,Joint Ventures - Profit/Loss,Joint Ventures - Assets,Joint Ventures - Liabilities,Associates - Name,Associates - Beneficial Interest,Associates - Share of Revenue,Associates - Carrying Amount,Associates - Profit/Loss,Associates - Assets,Associates - Liabilities,Company Status,Lawyers,Auditors,Geographical,Industry,Shares (million),ASX Code,Share Registry,Home Exchange,Ultimate holding company
Kingsrose Mining,194,84,,,,,30-Jun-2024,$467.01k,$1.92m,$0,$0,$-2.95m,$-6.88m,$40.51m,$49.77m,$3.99m,$2.26m,,,,,,,,$64.75k,$67.91k,$0,$64.55k,,,,,,,,,,,,,,,,,Ernst & Young,,Kingsrose Mining Limited (KRM) is a mineral…Kingsrose Mining Limited (KRM) is a mineral exploration company listed on the ASX. The company focuses on discovering and developing critical mineral deposits through acquisition and exploration. This approach has led to the acquisition or joint venture of the Rana nickel-copper-cobalt project and the Penikat PGE project in Norway and Finland.,753,KRM,,PERTH,
Lithium Energy,486,273,,2021,,,30-Jun-2024,$0,$190.65k,$0,$0,$-5.03m,$-11.62m,$32.55m,$33.32m,$3.23m,$1.20m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,In.Corp Audit & Assurance Pty Ltd,,Lithium Energy Limited (LEL) a listed battery…Lithium Energy Limited (LEL) a listed battery minerals company which is developing its flagship Burke and Corella Graphite Projects in Queensland.,112,LEL,,PERTH,
Lefroy Exploration,487,361,,2016,,,30-Jun-2024,$0,$0,$0,$0,$-3.19m,$-3.00m,$24.99m,$21.37m,$973.00k,$1.25m,,,,,,,,$62.00k,$62.00k,$113.00k,$174.00k,,,,,,,,,,,,,,,,,Ernst & Young,,"Lefroy Exploration Limited (ASX: LEX) is an…Lefroy Exploration Limited (ASX: LEX) is an exploration company focused on developing its growing gold and critical minerals projects. The Company's portfolio of projects includes the Lefroy Project, the Lake Johnston Project, and the 2,872km2 Glenayle Project.",248,LEX,,PERTH,
Yugo Metals,399,396,,2021,,,30-Jun-2024,$331,$40.59k,$0,$0,$-2.32m,$-4.68m,$2.63m,$6.98m,$204.09k,$130.91k,,,,,,,,$32.03k,$0,$70.45k,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,Hall Chadwick Audit (WA) Pty Ltd,,"Yugo Metals Limited (YUG, formerly Lykos Metals…Yugo Metals Limited (YUG, formerly Lykos Metals Limited) is a Perth-based exploration company with projects in Bosnia and Herzegovina. The projects have a history of mineral discovery and extraction and are prospective for nickel, copper, cobalt, and precious metals.",237,YUG,,PERTH,
MC Mining,49,60,,,,,30-Jun-2024,$61.18m,$71.07m,$55.35m,$67.57m,$-21.62m,$-6.51m,$174.58m,$187.68m,$60.74m,$55.93m,,,,,,,,$29.49m,$25.44m,$2.38m,$2.99m,,,,,,,,,,,,,,,,Falcon & Hume,Forvis Mazars Assurance Pty Ltd,,"MC Mining Limited (MCM) is an ASX listed coal…MC Mining Limited (MCM) is an ASX listed coal exploration, development and mining company operating in South Africa. The company's key projects include the Uitkomst Colliery (metallurgical and thermal coal), Makhado Project (hard coking coal), Vele Colliery (semi-soft coking and thermal coal), and the Greater Soutpansberg Projects (coking and thermal coal).",643,MCM,,PERTH,
NT Minerals,206,145,,,,,30-Jun-2024,$400.82k,$75.27k,$0,$0,$-1.63m,$-1.72m,$13.53m,$11.64m,$2.26m,$679.10k,,,,,,,,$208.98k,$166.51k,$684.61k,$94.97k,,,,,,,,,,,,,,,,,Stantons International Audit and Consulting Pty…Stantons International Audit and Consulting Pty Ltd,,"NT Minerals Limited (NTM, formerly Redbank Copper…NT Minerals Limited (NTM, formerly Redbank Copper Limited) is an Australian based exploration and minerals development company with projects in the Northern Territory and Western Australia focusing on copper, bulk commodities and strategic minerals.","1,210",NTM,,PERTH,
Pantera Minerals,204,266,,2020,,,30-Jun-2024,$411.71k,$189.40k,$0,$0,$-7.07m,$-1.91m,$14.25m,$7.12m,$1.18m,$742.64k,,,,,,,,$147.51k,$147.02k,$284.74k,$463.11k,,,,,,,,,,,,,,,,Steinepreis Paganin,HLB Mann Judd,,"Pantera Lithium Limited (PFE, formerly Pantera…Pantera Lithium Limited (PFE, formerly Pantera Minerals Limited) is focused on mineral exploration and evaluation. The business is analysed in two geographical segments namely, Australia and the United States of America (USA).",473,PFE,,PERTH,
Premier1 Lithium,119,,Jason Froud(Managing Director),2019,,,30-Jun-2024,$1.65m,$6.59m,$501.60k,$3.11m,$-8.63m,$-8.38m,$5.56m,$15.70m,$654.27k,$2.96m,,,,,,,,$365.82k,$486.66k,$0,$64.33k,,,,,,,,,,,,,,,,,Grant Thornton Audit Pty Ltd,,"Premier1 Lithium Limited (PLC, formerly Sensore…Premier1 Lithium Limited (PLC, formerly Sensore Ltd) is an Australian company emphasizing expedited mining development. It relies on advanced data analytics, AI/ML, and scientific computing for exploration discoveries. Premier1 organizes its operations into three divisions for AI-target opportunities. Currently focused on lithium projects, with Abbotts North as the premier exploration site featuring lithium-bearing pegmatites.",368,PLC,,MELBOURNE,
Podium Minerals,391,534,,2017,,,30-Jun-2024,$886,$67.41k,$0,$0,$-2.43m,$-6.86m,$22.41m,$22.43m,$515.41k,$641.18k,,,,,,,,$20.40k,$36.34k,$8.68k,$29.08k,,,,,,,,,,,,,,,,Allens,Elderton Audit Pty Ltd,,"Podium Minerals Limited (POD) is developing its…Podium Minerals Limited (POD) is developing its wholly owned Parks Reef PGM Project. The Project is located on granted mining leases situated within the Weld Range Complex igneous intrusion in the Mid-West Region of Western Australia. Parks Reef hosts a PGM deposit that extends over a strike length of 15km and contains PGMs (platinum, palladium, rhodium and iridium), gold, and base metals (copper, nickel and cobalt) mineralisation (collectively referred to as the 'Parks Reef Basket').",799,POD,,PERTH,
Piche Resources,383,,,2024,,,30-Jun-2024,$3.60k,$23.14k,$0,$0,$-3.07m,$-1.20m,$2.25m,$0,$1.75m,$0,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Allens,BDO Audit Pty Ltd,,"Piche Resources Limited (PR2) is a junior…Piche Resources Limited (PR2) is a junior exploration company, with the Company focussing on exploring for uranium, precious metals and other critical metals mineralisation in Western Australia and Argentina.",83,PR2,,PERTH,
Paterson Resources,488,529,,,,,30-Jun-2024,$0,$0,$0,$0,$-1.67m,$-5.66m,$7.75m,$7.40m,$687.06k,$213.91k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,HWL Ebsworth Lawyers,RSM Australia Partners,,"Paterson Resources (PSL) is a publicly listed,…Paterson Resources (PSL) is a publicly listed, junior mineral resources company focused on the exploration and development of gold and gold/copper exploration projects. The Company's Grace Gold-Copper Project is located 25km SE from the 32moz Telfer Mine in the Paterson mineral province in Western Australia consists of two granted exploration licences (E45/4524 and E45/5130) and five granted prospecting licences (P45/2905-2909).",456,PSL,,PERTH,
QX Resources,274,320,,,,,30-Jun-2024,$108.00k,$189.32k,$0,$0,$-1.77m,$-1.97m,$6.47m,$4.16m,$238.39k,$246.59k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Moore Australia Audit (WA),,"QX Resources (QXR) is involved in the exploration…QX Resources (QXR) is involved in the exploration and development of battery minerals. The company holds hard rock lithium assets in Western Australia, a lithium brine project in the USA, copper, molybdenum, and gold assets in Queensland, and an investment in nickel sulphide projects in Sweden. Its objective is to link end users-such as battery, cathode, and car manufacturers-with QXR, a company engaged in the discovery and development of battery mineral projects with ongoing project growth and financial backing.","1,637",QXR,,PERTH,
Redivium,296,478,,2002,,,30-Jun-2024,$68.08k,$9.30k,$0,$0,$-2.45m,$-4.99m,$14.91m,$16.78m,$115.77k,$142.23k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,Hall Chadwick WA Audit Pty Ltd,,"Redivium Limited (RIL, formerly Hannans Ltd), is…Redivium Limited (RIL, formerly Hannans Ltd), is a founder in sustainable resource solutions, dedicated to developing the way to manage and recycle critical materials, including electric vehicle batteries.","3,402",RIL,,PERTH,
Renegade Exploration,167,134,,,,,30-Jun-2024,$744.74k,$-564.26k,$0,$0,$-1.14m,$-1.54m,$6.29m,$3.82m,$952.61k,$993.59k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Corrs Chambers Westgarth,Stantons International Audit and Consulting Pty…Stantons International Audit and Consulting Pty Ltd,,"Renegade Exploration Limited (RNX) is an…Renegade Exploration Limited (RNX) is an Australian based minerals exploration company developing a portfolio of copper and gold projects in north-west Queensland. The Company's primary focus is the Cloncurry Project located in mining infrastructure rich Cloncurry. The company expanded its north-west Queensland operations with a 75% interest in a joint venture on the North Isa Project, located just north of MIM's George Fisher mining operations near Mount Isa.","2,052",RNX,,PERTH,
Stavely Minerals,111,277,"Chris Cairns(Executive Chair, Managing Director)",2013,,,30-Jun-2024,$1.93m,$68.19k,$0,$0,$-5.59m,$-8.86m,$9.38m,$8.99m,$896.83k,$2.79m,,,,,,,,$83.92k,$0,$126.07k,$1.60m,,,,,,,,,,,,,,,,Steinepreis Paganin,BDO Audit Pty Ltd,,"Stavely Minerals Limited (SVY) is a mineral…Stavely Minerals Limited (SVY) is a mineral exploration company focusing on uncovering the energy metals for a low-carbon future. The Company is exploring for copper, gold and silver at the Stavely and Ararat Projects in western Victoria, and nickel, copper and cobalt at the Hawkstone Project in west Kimberley, in northern Western Australia.",679,SVY,,PERTH,
Thunderbird Resources,142,209,George Bauk(Executive Chair),,,,30-Jun-2024,$1.11m,$229.25k,$0,$0,$-499.85k,$-1.62m,$17.23m,$15.07m,$2.48m,$2.41m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,BDO Audit (WA) Pty Ltd,,Thunderbird Resources Limited (THB) is an energy…Thunderbird Resources Limited (THB) is an energy exploration company exploring high-grade unconformity-related Uranium in the Athabasca Basin and large-scale Copper/Silver deposits in Peru.,389,THB,,PERTH,
Whitebark Energy,489,107,,,,,30-Jun-2024,$0,$2.36m,$0,$2.80m,$-6.23m,$-4.30m,$3.58m,$7.57m,$6.38m,$6.14m,,,,,,,,$547.52k,$292.54k,$0,$206.09k,,,,,,,,,,,,,,,,Steinepreis Paganin,UHY Haines Norton,,"Whitebark Energy Limited (WBE) is an ASX-listed…Whitebark Energy Limited (WBE) is an ASX-listed exploration and production company featuring low-cost oil and gas production in Canada, operated by its wholly owned subsidiary Rex Energy (Rex), and a substantial contingent gas resource in Western Australia. WBE has realigned its corporate strategy following an acquisition of a 100% interest in the Wizard Lake producing asset located in the prolific oil & gas province of Alberta, Canada.",703,WBE,,PERTH,
White Cliff Minerals,240,578,,,,,30-Jun-2024,$229.37k,$3.05m,$0,$0,$-13.51m,$3.16m,$5.57m,$12.28m,$310.40k,$1.07m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Atkinson Corporate Lawyers,HLB Mann Judd,,"White Cliff Minerals (WCN) is a mineral…White Cliff Minerals (WCN) is a mineral exploration company, pioneering high grade copper discoveries in a Tier 1 Jurisdiction, trading on the Australia Securities Exchange and OTCQB Venture Market. This is a company focused on delineation of a material copper project in tier 1 jurisdiction.","2,438",WCN,,PERTH,
Zuleika Gold,149,582,,,,,30-Jun-2024,$993.18k,$0,$0,$0,$198.18k,$-1.05m,$11.41m,$8.44m,$192.38k,$509.02k,,,,,,,,$0,$14.75k,$0,$0,,,,,,,,,,,,,,,,,Hall Chadwick WA Audit Pty Ltd,,Zuleika Gold Limited (ZAG) is an exploration…Zuleika Gold Limited (ZAG) is an exploration company focused on gold projects located near Kalgoorlie. The company is engaged in the exploration and potential acquisition of projects that may support future development opportunities.,746,ZAG,,PERTH,
Aurora Energy Metals,272,434,Greg Cochran(Managing Director),2015,,,30-Jun-2024,$114.89k,$0,$0,$0,$-2.36m,$-5.66m,$2.27m,$4.28m,$366.29k,$174.84k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Fairweather Corporate Lawyers,BDO Audit Pty Ltd,,"Aurora Energy Metals (1AE) is an Australian…Aurora Energy Metals (1AE) is an Australian company focused on the resource exploration and development owning the Aurora Energy Metals Project. The Aurora Energy Metals Project is prospective for uranium and lithium with a JORC Code Measured, Indicated and Inferred Resource for uranium having been delineated on this Project. The Company will conduct exploration and evaluation programs to assess the potential of both these minerals.",179,1AE,,PERTH,
Australian Critical Minerals,279,,Dean de Largie(Managing Director),2023,,,30-Jun-2024,$102.93k,$0,$102.93k,$0,$-2.72m,$-1.62m,$3.05m,$7.57m,$154.65k,$577.45k,,,,,,,,$0,$147.01k,$0,$0,,,,,,,,,,,,,,,,,Hall Chadwick WA Audit Pty Ltd,,Australian Critical Minerals (ACM) is an…Australian Critical Minerals (ACM) is an exploration company focused on developing a quality portfolio of critical minerals projects in Western Australia. The key projects are the Shaw and Cooletha (Pilbara) Lithium/Iron Projects and the Rankin Dome (Southern Cross) Rare Earth Project.,54,ACM,,PERTH,
Audalia Resources,490,431,,,,,30-Jun-2024,$0,$16.73k,$0,$0,$-937.36k,$-901.79k,$12.40m,$12.16m,$10.33m,$9.16m,,,,,,,,$0,$5.33m,$5.61m,$0,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,"Audalia Resources Limited (ACP) is an…Audalia Resources Limited (ACP) is an exploration company focusing on lead, zinc and copper. ACP's main focus is the Medcalf Vanadium Titanium Project.",792,ACP,,PERTH,
Hawk Resources,491,420,,2013,,,30-Jun-2024,$0,$34.72k,$0,$0,$-6.36m,$-2.44m,$5.04m,$8.03m,$235.30k,$467.76k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,RSM Australia Partners,,"Hawk Resources Limited (HWK, formerly Alderan…Hawk Resources Limited (HWK, formerly Alderan Resources Limited) specializes in critical and precious metal exploration. Its principal activity is exploration for copper and gold in the USA and lithium in Brazil. Its Cactus and Detroit projects are in Utah, USA and its lithium projects are in the states of Minas Gerais and Bahia, Brazil.",270,HWK,,PERTH,
Alma Metals,492,422,,,,,30-Jun-2024,$0,$0,$0,$0,$-3.12m,$-2.77m,$5.50m,$6.26m,$342.75k,$246.79k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Fairweather Corporate Lawyers,BDO Audit Pty Ltd,,"Alma Metals Limited (ALM) is in the development…Alma Metals Limited (ALM) is in the development of its Briggs Copper Project in Queensland, Australia. Briggs boasts more than 2 million tonnes of contained copper with potential for further expansion in tonnage and grade via ongoing drilling activities. The Company also holds the East Kimberley Copper Project, located north-west of Wyndham in Western Australia.","1,857",ALM,,PERTH,
Alchemy Resources,372,353,,,,,30-Jun-2024,$8.22k,$187.57k,$0,$0,$-1.48m,$-712.57k,$13.49m,$14.98m,$239.69k,$353.31k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,"Alchemy Resources Limited (ALY) is an Australian…Alchemy Resources Limited (ALY) is an Australian gold, base metal, and nickel-cobalt exploration company focused on growth through the development of exploration projects within Australia.","1,178",ALY,,PERTH,
APC Minerals,95,293,,,,,30-Jun-2024,$4.03m,$184.98k,$0,$0,$477.45k,$-41.61m,$1.56m,$2.96m,$813.90k,$5.52m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,In.Corp Audit & Assurance Pty Ltd,,APC Minerals Limited (APC) focused on divesting…APC Minerals Limited (APC) focused on divesting itself of vestige assets at the Lake Wells Sulphate of Potash project and on the exploration for minerals in the north-Eastern Goldfields and West Arunta regions of Western Australia.,292,APC,,PERTH,
Alicanto Minerals,539,170,,,,,30-Jun-2024,$-64,$-374,$0,$0,$-5.47m,$-7.05m,$2.94m,$5.43m,$405.38k,$640.34k,,,,,,,,$20.30k,$31.00k,$92.18k,$136.95k,,,,,,,,,,,,,,,,Hamilton Locke Lawyers,Stantons International Audit and Consulting Pty…Stantons International Audit and Consulting Pty Ltd,,Alicanto Minerals Limited (AQI) is focused on two…Alicanto Minerals Limited (AQI) is focused on two projects: the Falun Copper-Gold project and the Sala Zinc-Silver project.,848,AQI,,PERTH,
Askari Metals,367,429,,2021,,,30-Jun-2024,$11.65k,$20.68k,$0,$0,$-5.18m,$-6.21m,$11.33m,$12.29m,$2.21m,$1.29m,,,,,,,,$0,$35.59k,$850.22k,$20.20k,,,,,,,,,,,,,,,,Steinepreis Paganin Lawyers & Consultants,HLB Mann Judd,,Askari Metals Limited (AS2) is a Company focused…Askari Metals Limited (AS2) is a Company focused on gold and lithium exploration.,449,AS2,,PERTH,
Andean Silver,284,,,,,,30-Jun-2024,$93.64k,$0,$0,$0,$-10.13m,$-1.66m,$37.44m,$4.41m,$21.78m,$202.56k,,,,,,,,$102.57k,$11.38k,$10.06k,$19.83k,,,,,,,,,,,,,,,,Hamilton Locke,RSM Australia Partners,,"Andean Silver Limited (ASL, formerly Mitre Mining…Andean Silver Limited (ASL, formerly Mitre Mining Corporation Limited) is an Australian mineral exploration and development company focused on advancing its 100% owned Cerro Bayo Silver-Gold project in the Aysen region of Southern Chile.",188,ASL,,PERTH,
Aurum Resources,493,,,2021,,,30-Jun-2024,$0,$0,$0,$0,$-2.14m,$-1.21m,$22.08m,$2.22m,$855.56k,$60.76k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,RSM Australia,,Aurum Resources Ltd (AUE) is a mineral…Aurum Resources Ltd (AUE) is a mineral exploration and development company operating in the prolific Boundiali Greenstone Belt in Côte d'Ivoire.,339,AUE,,PERTH,
Alara Resources,86,297,,,,,30-Jun-2024,$5.54m,$-72.79k,$5.46m,$0,$-5.79m,$-1.91m,$171.95m,$117.66m,$151.35m,$88.58m,,,,,,,,$19.10m,$19.79k,$78.08m,$66.82m,,,,,,,,,,,,,,,,,In.Corp Audit & Assurance Pty Ltd,,"Alara Resources Limited (AUQ) is an Australian…Alara Resources Limited (AUQ) is an Australian minerals exploration and development company, that operates in Saudi Arabia and Oman. Daris Copper-Gold Project and Awtad Copper-Gold Project are the major projects of the company.",803,AUQ,,PERTH,
American West Metals,129,425,"David O'Neill(Founder, Managing Director)",2021,,,30-Jun-2024,$1.46m,$284.85k,$0,$0,$-17.12m,$-12.55m,$7.22m,$5.86m,$4.99m,$4.65m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,"American West Metals Limited (AW1) is a mining…American West Metals Limited (AW1) is a mining company focused on development of major base metal mineral deposits in Tier 1 jurisdictions of North America. The company projects include the Storm Copper Project (Canada), West Desert Project and Copper Warrior Project both located in USA.",842,AW1,,PERTH,
Brazilian Critical Minerals,362,442,,,,,30-Jun-2024,$13.27k,$0,$0,$0,$-6.05m,$-4.85m,$2.48m,$2.11m,$812.62k,$2.64m,,,,,,,,$622.65k,$2.46m,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,William Buck Audit (WA) Pty Ltd,,"Brazilian Critical Minerals Limited (BCM,…Brazilian Critical Minerals Limited (BCM, formerly BBX Minerals Limited) is a mineral exploration and mineral processing technology company. The main assets are the Tres Estados PGM/gold, Ema and Apui Rare Earth Elements (REE) projects located in Brazil. The company has 270.5sqkm of exploration tenements within the Colider Group, a geological environment for gold, PGM, REE, and base metal deposits.","1,685",BCM,,PERTH,
BMG Resources,494,242,,,,,30-Jun-2024,$0,$3.45k,$0,$0,$-7.19m,$-2.73m,$15.07m,$21.27m,$171.69k,$252.50k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Blackwall Legal,BDO Audit Pty Ltd,,BMG Resources Limited (BMG) is an exploration…BMG Resources Limited (BMG) is an exploration company focused on mineral resource exploration and development.,923,BMG,,PERTH,
Bulletin Resources,190,108,Mark Csar(Chief Executive),,,,30-Jun-2024,$485.42k,$3.05m,$0,$0,$-647.20k,$563.58k,$12.48m,$12.76m,$525.01k,$856.10k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,"HopgoodGanim, Thomson Geer Lawyers",BDO Audit Pty Ltd,,"Bulletin Resources Limited (BNR) is a Western…Bulletin Resources Limited (BNR) is a Western Australia focused company with an objective of rewarding shareholders by adding value to its mineral projects. Bulletin's strategy includes acquiring projects that have geological and economic prospectivity and are within practical haulage distance to existing infrastructure, operating mines or advanced projects.",293,BNR,,PERTH,
