Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
5017 TT Equity,S&T TECHNOLOGY,TW,Common Stock,--,40.55M,296.91M,169,Industrial Metals and Mining,Nonferrous Metals,--,--,Electrical Equipment,Electrical Components,--,--
TMM AU Equity,TASMANIA MINES P,AU,Common Stock,--,40.69M,50.50M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Base Metals,--,--
EXS AU Equity,EXCO RESOURCES P,AU,Common Stock,--,40.75M,103.80M,--,Industrial Metals and Mining,General Mining,--,--,Metals & Mining,Base Metals,Copper,Copper Mining
PIPE KK Equity,KUWAIT PIPES IND,KW,Common Stock,--,40.99M,739.62M,--,Industrial Metals and Mining,Iron and Steel,--,--,Industrial Intermediate Prod,Fabricated Metal & Hardware,Hardware,Fabricated Pipe & Pipe Fitting
ADT1 LN Equity,ADRIATIC METALS,GB,Common Stock,--,41.84M,568.67M,549,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Base Metals,--,--
MEFO IN Equity,METALYST FORGING,IN,Common Stock,--,41.90M,374.75M,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Automotive,Auto Parts,--,--
MZI AU Equity,MZI RESOURCES LT,AU,Common Stock,--,42.54M,165.48M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,--,--
PLV AU Equity,PLUTON RESOURCES,AU,Common Stock,--,42.86M,116.94M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Steel,Metals & Mining,Iron,Iron Ore Mining,--
ORL SJ Equity,OAKBAY RESOURCES,ZA,Common Stock,--,43.24M,958.53M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Gold,Metals & Mining,Base Metals,--,--
SIXH LN Equity,SIX HUNDRED GRP,GB,Common Stock,--,43.25M,89.51M,--,Industrial Metals and Mining,Metal Fabricating,Machinery,Industrial Machinery & Supplies & Components,Machinery,Metalworking Machinery,Machine Tool (Metal Cutting),--
ORI LN Equity,ORIEL RESOURCES,GB,Common Stock,--,43.42M,708.31M,754,Industrial Metals and Mining,General Mining,--,--,Metals & Mining,Base Metals,--,--
ADGR US Equity,ADAL GROUP INC,US,Common Stock,--,43.99M,26.21M,262,Industrial Metals and Mining,Aluminum,--,--,Metals & Mining,Base Metals,Aluminum,Aluminum Smelting & Refining
DZKL RU Equity,DOZAKL-BRD,RU,Common Stock,--,44.62M,18.97M,182,Industrial Metals and Mining,Aluminum,--,--,Metals & Mining,Base Metals,Aluminum,Aluminum Smelting & Refining
XIA/H CN Equity,XIANA MINING INC,CA,Common Stock,--,45.89M,8.85M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,Gold,--
CHEL RU Equity,CHELYABINSK-BRD,RU,Common Stock,--,46.32M,41.36M,1k,Industrial Metals and Mining,Nonferrous Metals,--,--,Chemicals,Specialty Chemicals,--,--
